:START_ID(Transaction),:END_ID(Terminal),:TYPE
0,T3,AT_TERMINAL
1,T44,AT_TERMINAL
2,T35,AT_TERMINAL
3,T171,AT_TERMINAL
4,T101,AT_TERMINAL
5,T184,AT_TERMINAL
6,T153,AT_TERMINAL
7,T94,AT_TERMINAL
8,T187,AT_TERMINAL
9,T43,AT_TERMINAL
10,T58,AT_TERMINAL
11,T31,AT_TERMINAL
12,T184,AT_TERMINAL
13,T50,AT_TERMINAL
14,T177,AT_TERMINAL
15,T46,AT_TERMINAL
16,T170,AT_TERMINAL
17,T169,AT_TERMINAL
18,T49,AT_TERMINAL
19,T60,AT_TERMINAL
20,T40,AT_TERMINAL
21,T33,AT_TERMINAL
22,T25,AT_TERMINAL
23,T18,AT_TERMINAL
24,T153,AT_TERMINAL
25,T81,AT_TERMINAL
26,T2,AT_TERMINAL
27,T154,AT_TERMINAL
28,T117,AT_TERMINAL
29,T95,AT_TERMINAL
30,T55,AT_TERMINAL
31,T17,AT_TERMINAL
32,T35,AT_TERMINAL
33,T135,AT_TERMINAL
34,T96,AT_TERMINAL
35,T99,AT_TERMINAL
36,T198,AT_TERMINAL
37,T80,AT_TERMINAL
38,T135,AT_TERMINAL
39,T61,AT_TERMINAL
40,T74,AT_TERMINAL
41,T30,AT_TERMINAL
42,T96,AT_TERMINAL
43,T138,AT_TERMINAL
44,T66,AT_TERMINAL
45,T138,AT_TERMINAL
46,T2,AT_TERMINAL
47,T102,AT_TERMINAL
48,T131,AT_TERMINAL
49,T168,AT_TERMINAL
50,T175,AT_TERMINAL
51,T141,AT_TERMINAL
52,T0,AT_TERMINAL
53,T175,AT_TERMINAL
54,T11,AT_TERMINAL
55,T136,AT_TERMINAL
56,T180,AT_TERMINAL
57,T94,AT_TERMINAL
58,T80,AT_TERMINAL
59,T133,AT_TERMINAL
60,T96,AT_TERMINAL
61,T101,AT_TERMINAL
62,T57,AT_TERMINAL
63,T123,AT_TERMINAL
64,T104,AT_TERMINAL
65,T198,AT_TERMINAL
66,T55,AT_TERMINAL
67,T194,AT_TERMINAL
68,T184,AT_TERMINAL
69,T27,AT_TERMINAL
70,T142,AT_TERMINAL
71,T3,AT_TERMINAL
72,T124,AT_TERMINAL
73,T35,AT_TERMINAL
74,T177,AT_TERMINAL
75,T138,AT_TERMINAL
76,T33,AT_TERMINAL
77,T7,AT_TERMINAL
78,T176,AT_TERMINAL
79,T90,AT_TERMINAL
80,T56,AT_TERMINAL
81,T150,AT_TERMINAL
82,T37,AT_TERMINAL
83,T190,AT_TERMINAL
84,T163,AT_TERMINAL
85,T56,AT_TERMINAL
86,T142,AT_TERMINAL
87,T149,AT_TERMINAL
88,T15,AT_TERMINAL
89,T51,AT_TERMINAL
90,T89,AT_TERMINAL
91,T64,AT_TERMINAL
92,T43,AT_TERMINAL
93,T35,AT_TERMINAL
94,T66,AT_TERMINAL
95,T187,AT_TERMINAL
96,T195,AT_TERMINAL
97,T141,AT_TERMINAL
98,T87,AT_TERMINAL
99,T176,AT_TERMINAL
100,T47,AT_TERMINAL
101,T175,AT_TERMINAL
102,T138,AT_TERMINAL
103,T193,AT_TERMINAL
104,T68,AT_TERMINAL
105,T178,AT_TERMINAL
106,T33,AT_TERMINAL
107,T74,AT_TERMINAL
108,T141,AT_TERMINAL
109,T80,AT_TERMINAL
110,T93,AT_TERMINAL
111,T187,AT_TERMINAL
112,T128,AT_TERMINAL
113,T138,AT_TERMINAL
114,T28,AT_TERMINAL
115,T109,AT_TERMINAL
116,T85,AT_TERMINAL
117,T99,AT_TERMINAL
118,T180,AT_TERMINAL
119,T109,AT_TERMINAL
120,T173,AT_TERMINAL
121,T83,AT_TERMINAL
122,T33,AT_TERMINAL
123,T102,AT_TERMINAL
124,T28,AT_TERMINAL
125,T171,AT_TERMINAL
126,T163,AT_TERMINAL
127,T142,AT_TERMINAL
128,T87,AT_TERMINAL
129,T47,AT_TERMINAL
130,T17,AT_TERMINAL
131,T65,AT_TERMINAL
132,T66,AT_TERMINAL
133,T27,AT_TERMINAL
134,T149,AT_TERMINAL
135,T62,AT_TERMINAL
136,T180,AT_TERMINAL
137,T55,AT_TERMINAL
138,T0,AT_TERMINAL
139,T174,AT_TERMINAL
140,T66,AT_TERMINAL
141,T193,AT_TERMINAL
142,T170,AT_TERMINAL
143,T154,AT_TERMINAL
144,T99,AT_TERMINAL
145,T38,AT_TERMINAL
146,T80,AT_TERMINAL
147,T148,AT_TERMINAL
148,T142,AT_TERMINAL
149,T52,AT_TERMINAL
150,T166,AT_TERMINAL
151,T186,AT_TERMINAL
152,T7,AT_TERMINAL
153,T93,AT_TERMINAL
154,T58,AT_TERMINAL
155,T14,AT_TERMINAL
156,T177,AT_TERMINAL
157,T34,AT_TERMINAL
158,T163,AT_TERMINAL
159,T90,AT_TERMINAL
160,T134,AT_TERMINAL
161,T46,AT_TERMINAL
162,T198,AT_TERMINAL
163,T134,AT_TERMINAL
164,T41,AT_TERMINAL
165,T4,AT_TERMINAL
166,T128,AT_TERMINAL
167,T26,AT_TERMINAL
168,T188,AT_TERMINAL
169,T80,AT_TERMINAL
170,T4,AT_TERMINAL
171,T113,AT_TERMINAL
172,T67,AT_TERMINAL
173,T29,AT_TERMINAL
174,T16,AT_TERMINAL
175,T88,AT_TERMINAL
176,T47,AT_TERMINAL
177,T169,AT_TERMINAL
178,T177,AT_TERMINAL
179,T22,AT_TERMINAL
180,T113,AT_TERMINAL
181,T12,AT_TERMINAL
182,T5,AT_TERMINAL
183,T78,AT_TERMINAL
184,T29,AT_TERMINAL
185,T33,AT_TERMINAL
186,T18,AT_TERMINAL
187,T10,AT_TERMINAL
188,T176,AT_TERMINAL
189,T178,AT_TERMINAL
190,T108,AT_TERMINAL
191,T99,AT_TERMINAL
192,T111,AT_TERMINAL
193,T25,AT_TERMINAL
194,T74,AT_TERMINAL
195,T134,AT_TERMINAL
196,T175,AT_TERMINAL
197,T100,AT_TERMINAL
198,T41,AT_TERMINAL
199,T38,AT_TERMINAL
200,T41,AT_TERMINAL
201,T70,AT_TERMINAL
202,T184,AT_TERMINAL
203,T5,AT_TERMINAL
204,T29,AT_TERMINAL
205,T25,AT_TERMINAL
206,T165,AT_TERMINAL
207,T180,AT_TERMINAL
208,T26,AT_TERMINAL
209,T138,AT_TERMINAL
210,T138,AT_TERMINAL
211,T20,AT_TERMINAL
212,T198,AT_TERMINAL
213,T162,AT_TERMINAL
214,T185,AT_TERMINAL
215,T138,AT_TERMINAL
216,T35,AT_TERMINAL
217,T118,AT_TERMINAL
218,T138,AT_TERMINAL
219,T101,AT_TERMINAL
220,T51,AT_TERMINAL
221,T111,AT_TERMINAL
222,T135,AT_TERMINAL
223,T137,AT_TERMINAL
224,T33,AT_TERMINAL
225,T102,AT_TERMINAL
226,T140,AT_TERMINAL
227,T25,AT_TERMINAL
228,T151,AT_TERMINAL
229,T37,AT_TERMINAL
230,T194,AT_TERMINAL
231,T118,AT_TERMINAL
232,T198,AT_TERMINAL
233,T135,AT_TERMINAL
234,T2,AT_TERMINAL
235,T106,AT_TERMINAL
236,T116,AT_TERMINAL
237,T163,AT_TERMINAL
238,T181,AT_TERMINAL
239,T77,AT_TERMINAL
240,T90,AT_TERMINAL
241,T189,AT_TERMINAL
242,T154,AT_TERMINAL
243,T35,AT_TERMINAL
244,T163,AT_TERMINAL
245,T126,AT_TERMINAL
246,T155,AT_TERMINAL
247,T43,AT_TERMINAL
248,T186,AT_TERMINAL
249,T33,AT_TERMINAL
250,T69,AT_TERMINAL
251,T145,AT_TERMINAL
252,T68,AT_TERMINAL
253,T171,AT_TERMINAL
254,T54,AT_TERMINAL
255,T1,AT_TERMINAL
256,T56,AT_TERMINAL
257,T37,AT_TERMINAL
258,T112,AT_TERMINAL
259,T16,AT_TERMINAL
260,T165,AT_TERMINAL
261,T54,AT_TERMINAL
262,T195,AT_TERMINAL
263,T191,AT_TERMINAL
264,T38,AT_TERMINAL
265,T47,AT_TERMINAL
266,T140,AT_TERMINAL
267,T10,AT_TERMINAL
268,T42,AT_TERMINAL
269,T169,AT_TERMINAL
270,T141,AT_TERMINAL
271,T28,AT_TERMINAL
272,T76,AT_TERMINAL
273,T41,AT_TERMINAL
274,T96,AT_TERMINAL
275,T164,AT_TERMINAL
276,T32,AT_TERMINAL
277,T16,AT_TERMINAL
278,T20,AT_TERMINAL
279,T17,AT_TERMINAL
280,T88,AT_TERMINAL
281,T84,AT_TERMINAL
282,T67,AT_TERMINAL
283,T54,AT_TERMINAL
284,T138,AT_TERMINAL
285,T187,AT_TERMINAL
286,T89,AT_TERMINAL
287,T134,AT_TERMINAL
288,T26,AT_TERMINAL
289,T87,AT_TERMINAL
290,T69,AT_TERMINAL
291,T37,AT_TERMINAL
292,T169,AT_TERMINAL
293,T134,AT_TERMINAL
294,T59,AT_TERMINAL
295,T156,AT_TERMINAL
296,T181,AT_TERMINAL
297,T72,AT_TERMINAL
298,T29,AT_TERMINAL
299,T139,AT_TERMINAL
300,T17,AT_TERMINAL
301,T169,AT_TERMINAL
302,T74,AT_TERMINAL
303,T37,AT_TERMINAL
304,T124,AT_TERMINAL
305,T90,AT_TERMINAL
306,T5,AT_TERMINAL
307,T51,AT_TERMINAL
308,T94,AT_TERMINAL
309,T134,AT_TERMINAL
310,T119,AT_TERMINAL
311,T79,AT_TERMINAL
312,T129,AT_TERMINAL
313,T187,AT_TERMINAL
314,T92,AT_TERMINAL
315,T94,AT_TERMINAL
316,T4,AT_TERMINAL
317,T72,AT_TERMINAL
318,T96,AT_TERMINAL
319,T156,AT_TERMINAL
320,T52,AT_TERMINAL
321,T40,AT_TERMINAL
322,T50,AT_TERMINAL
323,T170,AT_TERMINAL
324,T66,AT_TERMINAL
325,T198,AT_TERMINAL
326,T134,AT_TERMINAL
327,T82,AT_TERMINAL
328,T172,AT_TERMINAL
329,T151,AT_TERMINAL
330,T56,AT_TERMINAL
