customer_M,customer_N,shared_terminals,tx_M,tx_N
308,695,16,301,301
735,778,15,125,126
171,921,15,505,504
376,889,15,420,419
239,488,15,700,698
121,38,14,678,679
29,352,13,523,523
883,90,13,341,343
399,72,12,118,118
191,292,12,281,281
243,377,12,150,150
651,848,12,641,640
75,922,12,76,75
484,996,12,50,51
371,55,12,643,644
341,959,12,233,234
116,686,12,228,226
296,405,12,490,488
439,938,12,642,640
0,570,11,429,429
552,553,11,40,40
133,21,11,90,90
759,856,11,566,565
188,246,11,661,660
399,443,11,118,120
577,729,11,596,594
849,942,11,609,611
302,924,10,646,646
23,785,10,126,126
220,893,10,620,620
157,997,10,195,195
270,314,10,750,751
300,605,10,711,712
924,987,10,646,647
524,893,10,621,620
110,126,10,32,33
616,766,10,288,287
602,856,10,563,565
321,458,10,275,273
400,531,10,772,774
107,662,10,507,509
215,911,9,288,288
649,759,9,566,566
633,635,9,778,778
0,452,9,429,429
223,680,9,401,402
109,653,9,335,336
146,42,9,43,42
520,874,9,452,453
673,846,9,355,357
131,370,9,737,735
304,619,9,441,443
226,258,9,265,267
177,981,9,414,416
836,854,9,245,243
675,752,9,451,449
295,541,8,312,312
69,786,8,682,682
434,715,8,64,63
127,998,8,281,282
735,785,8,125,126
817,923,8,358,359
258,557,8,267,268
705,787,8,452,451
380,474,8,551,550
181,98,8,737,736
649,856,8,566,565
23,735,8,126,125
249,359,8,572,571
341,915,8,233,232
427,823,8,253,251
316,557,8,270,268
402,660,8,317,315
202,799,8,473,471
483,540,8,598,600
610,620,8,667,665
369,409,8,630,632
349,55,8,646,644
596,642,7,761,761
820,920,7,51,50
421,718,7,629,628
837,860,7,139,138
464,688,7,97,96
514,991,7,99,100
48,606,7,363,362
191,985,7,281,282
220,524,7,620,621
410,576,7,361,360
174,234,7,642,643
644,880,7,532,531
517,889,7,420,419
373,44,7,21,22
443,72,7,120,118
765,823,7,249,251
224,91,7,312,314
532,720,7,600,602
438,661,7,227,225
220,455,7,620,618
461,957,7,478,480
268,882,7,64,62
130,644,7,534,532
696,926,7,499,497
184,693,7,149,151
140,681,7,658,656
915,959,7,232,234
249,485,7,572,574
231,87,7,32,34
326,357,7,79,77
218,898,7,330,328
322,62,6,725,725
778,785,6,126,126
301,826,6,609,609
50,735,6,125,125
825,872,6,683,683
330,975,6,269,269
578,829,6,182,182
178,522,6,158,158
376,517,6,420,420
14,770,6,184,184
33,758,6,473,472
408,982,6,367,366
374,930,6,177,176
437,969,6,302,301
184,928,6,149,150
126,816,6,33,34
302,987,6,646,647
292,985,6,281,282
305,834,6,84,83
626,703,6,241,242
175,882,6,61,62
259,583,6,402,401
205,433,6,55,56
186,254,6,580,581
294,692,6,111,112
446,908,6,164,163
555,865,6,735,736
193,503,6,221,223
296,609,6,490,488
74,98,6,734,736
213,650,6,589,587
339,921,6,506,504
522,944,6,158,160
225,309,6,56,58
879,948,6,558,556
186,250,6,580,578
696,877,6,499,501
500,579,6,194,192
455,658,6,618,620
342,495,6,570,568
223,679,6,401,403
794,867,6,190,188
805,864,5,211,211
176,920,5,50,50
695,969,5,301,301
308,969,5,301,301
485,783,5,574,574
70,896,5,18,18
23,778,5,126,126
613,807,5,298,298
452,570,5,429,429
125,795,5,578,577
115,235,5,546,547
437,886,5,302,301
706,946,5,325,324
406,624,5,499,500
245,376,5,421,420
50,778,5,125,126
592,958,5,93,94
478,80,5,248,247
588,978,5,236,237
442,767,5,423,422
491,501,5,126,127
117,841,5,728,729
427,831,5,253,254
679,680,5,403,402
430,876,5,176,175
47,73,5,173,174
965,995,5,67,66
134,789,5,736,735
469,663,5,162,160
525,685,5,446,448
439,5,5,642,644
482,546,5,100,102
532,667,5,600,598
575,763,5,332,334
16,248,5,75,77
284,912,5,586,588
651,742,5,641,639
390,517,5,418,420
100,27,5,715,717
766,983,5,287,289
59,609,5,490,488
672,95,5,437,435
412,77,5,103,101
134,497,5,736,738
151,591,5,195,193
189,80,5,249,247
405,609,4,488,488
287,833,4,487,487
670,941,4,221,221
273,798,4,584,584
499,565,4,384,384
141,387,4,721,721
11,422,4,109,109
237,329,4,789,789
640,854,4,243,243
832,993,4,707,707
1,677,4,725,725
437,695,4,302,301
308,437,4,301,302
56,980,4,147,148
363,957,4,481,480
315,966,4,437,436
46,671,4,443,442
225,492,4,56,57
630,718,4,627,628
694,705,4,453,452
284,772,4,586,585
74,992,4,734,735
386,874,4,452,453
693,928,4,151,150
281,456,4,402,401
245,517,4,421,420
353,751,4,48,47
30,352,4,524,523
476,957,4,481,480
773,850,4,209,208
101,47,4,174,173
23,50,4,126,125
108,762,4,307,306
171,339,4,505,506
293,927,4,541,540
173,844,4,286,285
43,469,4,164,162
195,718,4,626,628
179,918,4,616,618
488,571,4,698,696
531,815,4,774,776
380,757,4,551,553
2,857,4,376,374
319,568,4,448,446
14,578,4,184,182
182,983,4,291,289
151,539,4,195,197
309,445,4,58,56
512,906,4,37,39
209,383,4,573,575
110,816,4,32,34
54,849,4,607,609
255,642,4,763,761
212,54,4,605,607
577,667,4,596,598
245,889,4,421,419
53,884,4,576,578
362,368,4,383,381
115,424,4,546,544
717,720,4,600,602
293,416,4,541,543
142,425,4,27,25
